,pt,r_num,SAFE,THREAT
3,32,4,-0.004588008299999969,0.005735009500000013
8,33,4,-0.12508407050000006,0.15635508850000002
13,37,4,-0.21329964987500005,0.1706397201
18,38,4,0.247535139125,-0.19802811150000008
23,41,4,0.21232743487500005,-0.1698619474
28,42,4,0.0,0.0
33,46,4,-0.23570226,0.1885618087
38,47,4,-0.2826928013333333,0.28269280122222223
43,48,4,0.3804254556666667,-0.3804254557777778
48,49,4,-0.3348391395555555,0.33483913966666673
53,50,4,-0.005386445888888887,0.005386445999999958
58,51,4,0.241876722,-0.2418767222222222
63,52,4,0.2788720295555556,-0.278872029
68,53,4,0.0,0.0
73,54,4,0.15346519277777776,-0.1534651928888889
78,56,4,0.0062232524000000004,-0.00777906512499997
83,57,4,0.22143083811111106,-0.2214308375555556
88,58,4,-0.06713766211111111,0.06713766244444441
93,59,4,0.1494722472222222,-0.14947224744444446
98,60,4,-0.058282278624999975,0.046625823500000066
103,61,4,0.0,0.0
108,63,4,-0.23570226,0.18856180869999992
113,64,4,-0.2528044596250001,0.2022435675
118,65,4,0.18856180869999992,-0.23570226
123,66,4,-0.17750418224999998,0.1420033454999999
128,67,4,0.2999934176249999,-0.239994734
133,68,4,0.023564170250000016,-0.018851336100000008
138,69,4,0.08994057024999996,-0.0719524561
143,70,4,0.0,0.0
148,71,4,-0.27182956974999994,0.2174636557
153,72,4,0.09203361350000004,-0.07362689069999999
158,73,4,-0.23570226,0.18856180869999992
163,74,4,-0.1898929925,0.1519143943
