,cntxt_num,count,mean,pt,run_num
0,0,3,0.0,74,5
1,1,3,0.0,74,5
2,10,3,0.0,74,5
3,11,3,0.0,74,5
4,12,3,0.0,74,5
5,13,3,0.4684,74,5
6,14,3,0.412,74,5
7,15,3,0.0,74,5
8,16,3,0.0,74,5
9,17,3,0.0,74,5
10,18,3,0.1933,74,5
11,2,3,0.0173,74,5
12,3,3,0.1144,74,5
13,4,3,0.0056,74,5
14,5,3,0.0,74,5
15,6,3,0.2172,74,5
16,7,3,0.0173,74,5
17,8,3,0.0,74,5
18,9,3,0.4008,74,5
0,0,3,0.0224,74,5
1,1,3,0.1994,74,5
2,10,3,0.0,74,5
3,11,3,0.0,74,5
4,12,3,0.0,74,5
5,13,3,0.4334,74,5
6,14,3,0.0732,74,5
7,15,3,0.0,74,5
8,16,3,0.145,74,5
9,17,3,0.0137,74,5
10,18,3,0.0682,74,5
11,2,3,0.0,74,5
12,3,3,0.0092,74,5
13,4,3,0.1012,74,5
14,5,3,0.0086,74,5
15,6,3,0.0,74,5
16,7,3,0.0066,74,5
17,8,3,0.0977,74,5
18,9,3,0.0855,74,5
0,0,3,0.0056,74,5
1,1,3,0.0,74,5
2,10,3,0.0,74,5
3,11,3,0.1439,74,5
4,12,3,0.2624,74,5
5,13,3,0.0102,74,5
6,14,3,0.0936,74,5
7,15,3,0.0,74,5
8,16,3,0.0,74,5
9,17,3,0.3164,74,5
10,18,3,0.412,74,5
11,2,3,0.2843,74,5
12,3,3,0.0209,74,5
13,4,3,0.0,74,5
14,5,3,0.0,74,5
15,6,3,0.5203,74,5
16,7,3,0.0051,74,5
17,8,3,0.0,74,5
18,9,3,0.2152,74,5
0,0,3,0.0,74,5
1,1,3,0.0163,74,5
2,10,3,0.0,74,5
3,11,3,0.0,74,5
4,12,3,0.0,74,5
5,13,3,0.0,74,5
6,14,3,0.0,74,5
7,15,3,0.0,74,5
8,16,3,0.0,74,5
9,17,3,0.0,74,5
10,18,3,0.381,74,5
11,2,3,0.0,74,5
12,3,3,0.1923,74,5
13,4,3,0.0066,74,5
14,5,3,0.0407,74,5
15,6,3,0.0076,74,5
16,7,3,0.1353,74,5
17,8,3,0.0671,74,5
18,9,3,0.0076,74,5
0,0,3,0.1536,74,5
1,1,3,0.2716,74,5
2,10,3,0.0,74,5
3,11,3,0.145,74,5
4,12,3,0.0671,74,5
5,13,3,0.0,74,5
6,14,3,0.0483,74,5
7,15,3,0.0,74,5
8,16,3,0.0,74,5
9,17,3,0.0,74,5
10,18,3,0.1221,74,5
11,2,3,0.0,74,5
12,3,3,0.0076,74,5
13,4,3,0.0051,74,5
14,5,3,0.0097,74,5
15,6,3,0.0,74,5
16,7,3,0.0,74,5
17,8,3,0.091,74,5
18,9,3,0.0,74,5
