,index,context_num,context_type,context_shock,cntxt_trialnum
0,1,0.0,SAFE,None,1.0
1,7,1.0,SAFE,None,1.0
2,13,2.0,SAFE,None,1.0
3,19,3.0,THREAT,None,1.0
4,25,4.0,SAFE,prior,1.0
5,31,0.0,THREAT,shock-cntxt,1.0
6,37,4.0,SAFE,post,1.0
7,43,5.0,THREAT,None,1.0
8,49,6.0,THREAT,None,1.0
9,55,7.0,THREAT,None,1.0
10,61,8.0,THREAT,None,1.0
11,67,9.0,THREAT,None,1.0
12,73,10.0,SAFE,None,1.0
13,79,11.0,SAFE,None,1.0
14,85,12.0,SAFE,None,1.0
15,91,13.0,THREAT,None,1.0
16,97,14.0,SAFE,None,1.0
17,103,15.0,THREAT,None,1.0
18,109,16.0,SAFE,None,1.0
